time,knowing,avg_belief,disp
3028.0,0.01,1.0,0.9822691538052335
3029.0,0.01,1.0,0.9822691538052335
3030.0,0.01,1.0,0.9822691538052335
3031.0,0.01,1.0,0.9822691538052335
3032.0,0.01,1.0,0.9822691538052335
3033.0,0.01,1.0,0.9822691538052335
3034.0,0.01,1.0,0.9822691538052335
3035.0,0.01,1.0,0.9822691538052335
3036.0,0.01,1.0,0.9822691538052335
3037.0,0.01,1.0,0.9822691538052335
3038.0,0.01,1.0,0.9822691538052335
3039.0,0.01,1.0,0.9822691538052335
3040.0,0.01,1.0,0.9822691538052335
3041.0,0.01,1.0,0.9822691538052335
3042.0,0.01,1.0,0.9822691538052335
3043.0,0.01,1.0,0.9822691538052335
3044.0,0.01,1.0,0.9822691538052335
3045.0,0.01,1.0,0.9822691538052335
3046.0,0.01,1.0,0.9822691538052335
3047.0,0.01,1.0,0.9822691538052335
3048.0,0.01,1.0,0.9822691538052335
3049.0,0.01,1.0,0.9822691538052335
3050.0,0.01,1.0,0.9822691538052335
3051.0,0.01,1.0,0.9822691538052335
3052.0,0.01,1.0,0.9822691538052335
3053.0,0.01,1.0,0.9822691538052335
3054.0,0.01,1.0,0.9822691538052335
3055.0,0.01,1.0,0.9822691538052335
3056.0,0.01,1.0,0.9822691538052335
3057.0,0.01,1.0,0.9822691538052335
3058.0,0.01,1.0,0.9822691538052335
3059.0,0.01,1.0,0.9822691538052335
3060.0,0.01,1.0,0.9822691538052335
3061.0,0.01,1.0,0.9822691538052335
3062.0,0.01,1.0,0.9822691538052335
3063.0,0.01,1.0,0.9822691538052335
3064.0,0.01,1.0,0.9822691538052335
3065.0,0.01,1.0,0.9822691538052335
3066.0,0.01,1.0,0.9822691538052335
3067.0,0.01,1.0,0.9822691538052335
3068.0,0.01,1.0,0.9822691538052335
3069.0,0.01,1.0,0.9822691538052335
3070.0,0.01,1.0,0.9822691538052335
3071.0,0.01,1.0,0.9822691538052335
3072.0,0.01,1.0,0.9822691538052335
3073.0,0.01,1.0,0.9822691538052335
3074.0,0.01,1.0,0.9822691538052335
3075.0,0.01,1.0,0.9822691538052335
3076.0,0.01,1.0,0.9822691538052335
3077.0,0.01,1.0,0.9822691538052335
3078.0,0.01,1.0,0.9822691538052335
3079.0,0.01,1.0,0.9822691538052335
3080.0,0.01,1.0,0.9822691538052335
3081.0,0.01,1.0,0.9822691538052335
3082.0,0.01,1.0,0.9822691538052335
3083.0,0.01,1.0,0.9822691538052335
3084.0,0.01,1.0,0.9822691538052335
3085.0,0.01,1.0,0.9822691538052335
3086.0,0.01,1.0,0.9822691538052335
3087.0,0.01,1.0,0.9822691538052335
3088.0,0.01,1.0,0.9822691538052335
3089.0,0.01,1.0,0.9822691538052335
3090.0,0.01,1.0,0.9822691538052335
3091.0,0.01,1.0,0.9822691538052335
3092.0,0.01,1.0,0.9822691538052335
3093.0,0.01,1.0,0.9822691538052335
3094.0,0.01,1.0,0.9822691538052335
3095.0,0.01,1.0,0.9822691538052335
3096.0,0.01,1.0,0.9822691538052335
3097.0,0.01,1.0,0.9822691538052335
3098.0,0.01,1.0,0.9822691538052335
3099.0,0.01,1.0,0.9822691538052335
3100.0,0.01,1.0,0.9822691538052335
3101.0,0.01,1.0,0.9822691538052335
3102.0,0.01,1.0,0.9822691538052335
3103.0,0.01,1.0,0.9822691538052335
3104.0,0.01,1.0,0.9822691538052335
3105.0,0.01,1.0,0.9822691538052335
3106.0,0.01,1.0,0.9822691538052335
3107.0,0.01,1.0,0.9822691538052335
3108.0,0.01,1.0,0.9822691538052335
3109.0,0.01,1.0,0.9822691538052335
3110.0,0.01,1.0,0.9822691538052335
3111.0,0.01,1.0,0.9822691538052335
3112.0,0.01,1.0,0.9822691538052335
3113.0,0.01,1.0,0.9822691538052335
3114.0,0.01,1.0,0.9822691538052335
3115.0,0.01,1.0,0.9822691538052335
3116.0,0.01,1.0,0.9822691538052335
3117.0,0.01,1.0,0.9822691538052335
3118.0,0.01,1.0,0.9822691538052335
3119.0,0.01,1.0,0.9822691538052335
3120.0,0.01,1.0,0.9822691538052335
3121.0,0.01,1.0,0.9822691538052335
3122.0,0.01,1.0,0.9822691538052335
3123.0,0.01,1.0,0.9822691538052335
3124.0,0.01,1.0,0.9822691538052335
3125.0,0.01,1.0,0.9822691538052335
3126.0,0.01,1.0,0.9822691538052335
